Plot row,Plot col,Grid row,Grid col,Plot,20190613,20190621,20190627,20190703,20190710,20190716,20190724,20190801,20190807,20190817,20190823
row-1,1,1,1,FM 2398GLTP,0.24691358,0.679983,1.577974871,6.86920285,14.89341781,20.21768968,31.87549251,31.31316099,38.15857438,47.04011491,38.08009302
row-1,1,2,1,FM 2398GLTP,0.099317194,0.088519886,0.396694215,2.679675231,6.937985706,11.34412206,27.44883962,28.54638422,41.30294421,51.66306111,42.51222598
row-1,1,3,1,FM 2398GLTP,0.172839506,0.181137544,1.153351699,5.293050141,10.89229425,17.95141881,36.67679838,38.82834186,53.99025974,75.34284053,57.98073615
row-1,1,4,1,FM 2398GLTP,0.006242002,0.084997875,0.476718404,2.131711718,5.951749321,10.19183504,29.17051594,38.69565217,51.90470041,74.56820345,60.27863777
row-1,1,5,1,FM 2398GLTP,0.201738051,0.139639366,0.701561065,4.106385111,9.575231734,17.05448626,33.49375211,42.91421857,57.12809917,78.33521425,66.16443068
row-1,1,6,1,FM 2398GLTP,0.087388034,0.254993625,1.116038433,4.651162791,13.47960426,25.10453573,42.32804233,51.65230095,71.06792355,91.12889436,78.13553492
row-1,1,7,1,FM 2398GLTP,0.090006207,0.128201215,0.927568367,2.913737155,8.932305484,16.85339462,36.05482382,42.27673325,57.41541839,81.96654427,73.53629171
row-1,1,8,1,FM 2398GLTP,0.374520146,0.513022889,2.44646044,8.025272214,18.39518117,29.69453222,45.50545987,54.20309546,68.57244318,83.91641873,73.53633218
row-1,1,9,1,FM 2398GLTP,0.777777778,0.818045847,4.091827365,11.69434328,25.04603477,34.3770947,49.93492531,51.24350189,61.36038961,81.38230567,69.14948189
row-1,1,10,1,FM 2398GLTP,0.645561763,1.123186206,2.868686869,8.613719135,20.34580693,31.17558811,50.6960163,54.70329025,69.04700413,86.34109641,72.08713792
row-1,1,11,1,FM 2398GLTP,0.645561763,0.665425353,2.572062084,9.388887033,20.7796261,30.86277889,44.9213445,47.87143901,61.14733988,76.30218958,66.29732225
row-1,1,12,1,FM 2398GLTP,0.418214163,0.730588093,2.41322314,8.366008653,19.17231048,30.83724345,43.56326392,48.89541716,63.03896104,81.70035225,73.85620915
row-1,1,13,1,FM 2398GLTP,0.527622595,0.273207456,1.414141414,6.44605192,16.9345526,29.94350282,46.75475328,48.91304348,68.37012987,85.80417906,73.909921
row-1,1,14,1,FM 2398GLTP,0.533691208,0.501147204,1.840220386,6.779377861,18.23601011,30.53720195,50.03678135,51.4769905,68.75428571,80.90352587,74.16641018
row-1,1,15,1,FM 2398GLTP,0.602353235,0.705106682,1.436179982,6.014233686,15.8921382,27.90066711,42.57582617,44.9817385,58.21103896,72.42962056,65.47997674
row-1,1,16,1,FM 2398GLTP,0.471756673,0.582842572,1.616161616,5.198970898,15.04946787,25.41734495,44.42904029,48.44119795,61.51948052,77.71657827,71.26934985
row-1,1,17,1,FM 2398GLTP,0.30726257,0.515857269,1.013774105,2.99435408,9.253768609,16.92042517,35.37799909,41.88307873,54.12254649,67.83285734,64.72652219
row-1,1,18,1,FM 2398GLTP,0.251396648,0.24588671,0.772357724,2.656841536,8.507849318,15.36276294,35.57888185,38.96886016,53.92884814,62.87404672,56.32160323
row-1,1,19,1,FM 2398GLTP,0.112356044,0.112939165,0.051423324,1.535824708,6.373084486,11.73672955,30.57944771,35.43772033,43.82425103,64.55528356,56.83522532
row-1,1,20,1,FM 2398GLTP,0.027932961,0.05767713,0.154269972,1.349861339,5.723916232,9.8662581,29.42418102,32.97297297,38.12662338,55.75615395,53.25421397
row-1,1,21,1,FM 2398GLTP,0.043694017,0.120758363,0.284552846,0.895452571,4.278892669,8.397969932,21.87228801,26.71018431,33.56469525,51.83133272,52.76470588
row-1,1,22,1,FM 2398GLTP,0.108628181,0.063748406,0.129342203,0.494018013,2.188081937,4.382520987,13.18529776,17.60116874,21.96539256,6.928627612,8.410732714
row-1,1,23,1,FM 2398GLTP,0.015518312,0,0.084996305,0.267299275,1.523048594,2.892270159,8.868732678,10.10080351,13.75903926,20.17030881,21.08015136
row-1,1,24,1,FM 2398GLTP,0.271604938,0.00305241,0.117539027,0.416722678,1.423176555,2.314149829,6.245074862,9.940102264,15.9607438,23.20030095,21.75712185
row-1,1,25,1,FM 2398GLTP,0.310366232,0.078926598,0.251293422,0.772953354,2.528010986,4.1143988,10.55681532,12.03877791,17.26623377,25.35699714,23.24045408
row-1,1,26,1,FM 2398GLTP,0.518311608,0.320503037,0.271808999,1.223282699,6.110920383,8.30859587,16.0615783,12.58436815,18.93831169,22.64970418,20.34472145
row-1,1,27,1,FM 2398GLTP,0.312100122,0.154817558,0.069788797,0.265492674,3.12849162,4.439975741,10.74717953,12.5522279,19.16645145,29.06193359,26.55175952
row-1,1,28,1,FM 2398GLTP,0.130353818,0.060712768,0.029563932,0.277322998,2.755844075,2.304574037,8.496566475,10.35500365,16.25451963,21.44933484,22.25642078
row-1,1,29,1,FM 2398GLTP,0.271527106,0.039246468,0.022038567,0.417655117,4.17902063,2.023684127,12.91511877,15.43772033,22.20105888,26.31918945,26.54282766
row-1,1,30,1,FM 2398GLTP,0.4283054,0.230708518,0.21671258,1.908858718,8.061546144,4.487854703,12.48019466,11.57168038,18.70157541,21.95702434,18.72033024
row-1,1,31,1,FM 2398GLTP,0.400372439,0.141891076,0.400367309,2.349242834,6.507287538,5.815697916,15.73511201,13.13454759,16.46753247,18.21073151,17.80718854
row-1,1,32,1,FM 2398GLTP,0.912476723,1.452947102,3.333333333,6.556660842,10.0028089,7.705320949,14.3673608,11.4306698,12.01898244,5.898952808,4.288499025
row-1,1,33,1,FM 2398GLTP,0.772811918,0.854674766,1.237832874,3.979417956,9.653256765,10.16629959,21.83383992,18.36306711,28.58987603,32.79613763,24.07236415
row-1,1,34,1,FM 2398GLTP,0.149808058,0.036628919,0.036730946,1.005713522,3.202147249,2.888697373,7.155387053,5.42293645,6.775974026,6.174350605,4.809688581
row-1,1,35,1,FM 2398GLTP,0.301055245,0.207563872,0.273466371,1.627184336,6.797540651,4.698522136,21.0345604,16.55807159,23.56818182,27.82052597,22.90677675
row-1,1,36,1,FM 2398GLTP,0.10299304,0.024285107,0.014781966,0.236614386,0.895727349,0.820326215,5.126754187,3.804236669,6.321428571,7.796137631,8.806329549
row-1,1,37,1,FM 2398GLTP,0.101851852,0.045534576,0,0.229853975,1.058019413,0.865013247,2.085444107,2.23560517,2.716734694,4.442392531,4.502923977
row-1,1,38,1,FM 2398GLTP,0.434512725,0.066417099,0.014781966,0.481138695,2.687182048,2.301382106,6.167949298,5.855368882,8.377453512,18.28505372,15.66907465
row-1,1,39,1,FM 2398GLTP,0.203703704,0.045534576,0.007346189,0.324100371,1.613557629,0.95757924,7.410221772,6.226442659,9.094137397,10.50921651,11.63434903
row-1,1,40,1,FM 2398GLTP,0.134203052,0.027320746,0.003673095,0.046777373,0.046815018,0,0.045269353,0.011687363,0.02259814,0.044458124,0.061557402
row-1,1,41,1,FM 2398GLTP,0.124146493,0.00610482,0.003673095,0,0.028089011,0,0,0,0,0.212031052,0.280428166
row-1,1,42,1,FM 2398GLTP,0.262164102,0.015178192,0.025868441,0.077295335,0.259043101,0.27769798,0.607902736,1.492361927,2.688311688,7.180742554,6.649466804
row-1,1,43,1,FM 2398GLTP,0.238981999,0.2472452,0.378328742,1.734104046,4.625323804,4.360177471,15.40830324,17.61750881,23.63442665,34.88936767,31.25214998
row-1,1,44,1,FM 2398GLTP,0.145872129,0.194280857,0.293847567,0.968959872,3.579788396,3.412174024,15.15535292,18.10223267,25.65857438,38.4904757,34.23959509
row-1,1,45,1,FM 2398GLTP,0.262345679,0.285350009,0.066518847,0.850248689,4.89685091,5.451817805,18.29176115,21.33372503,27.4018595,39.01808786,37.21486953
row-1,1,46,1,FM 2398GLTP,0.152079454,0.081511895,0.055096419,0.504100013,3.305140289,3.779246066,16.99876168,21.17750183,26.51730372,39.50617284,36.26414965
row-1,1,47,1,FM 2398GLTP,0.184139072,0.273207456,0,0.82194527,3.976155551,4.854926745,17.09638588,21.22717312,28.15082645,39.32531098,37.15170279
row-1,1,48,1,FM 2398GLTP,0.362036141,0.239815433,0.132231405,0.581395349,4.194625636,5.426282358,20.336598,23.42147553,34.18831169,48.62692794,47.42313874
row-1,1,49,1,FM 2398GLTP,0.049936019,0.00915723,0.011086475,0.268853341,1.526169595,2.377988445,12.7404048,17.25616921,26.73360021,48.17421461,42.40454076
row-1,1,50,1,FM 2398GLTP,0.124146493,0.045786148,0,0.260275825,2.396928935,2.879121581,16.13193741,21.60701242,32.51549587,53.38052734,45.61403509
row-1,1,51,1,FM 2398GLTP,0.226567349,0.130532451,0.025868441,1.132544697,4.715832839,7.23291519,21.83102555,29.09569028,39.15934917,63.57490535,55.83044983
row-1,1,52,1,FM 2398GLTP,0.287037037,0.109886756,0.048334325,0.671589428,3.838831497,5.697596476,22.18481213,28.28634039,38.43298037,57.50145344,49.75232198
row-1,1,53,1,FM 2398GLTP,1.455617629,0.184156503,0.206947524,1.353202579,5.458631129,8.465000479,25.0478442,28.68324669,39.56493506,56.84484115,48.16182757
row-1,1,54,1,FM 2398GLTP,0.052762259,0.063748406,0.084481175,0.809920688,4.319465685,6.56779661,21.57933454,26.35722679,33.91233766,58.10676789,50.81563558
row-1,1,55,1,FM 2398GLTP,0.321463125,0.217365053,0.404040404,1.365603029,5.886208296,9.515145712,27.89879545,30.97238543,41.32467532,61.2701344,54.28620571
row-1,1,56,1,FM 2398GLTP,0.226567349,0.251957987,0.402808574,1.118848026,6.117162386,8.895911137,24.56994115,31.6039953,40.61363636,62.5118999,59.01960784
row-1,1,57,1,FM 2398GLTP,0.137324054,0.106247344,0.242424242,0.521233586,2.087949814,4.31549044,13.7847574,19.65628672,27.48701299,53.63701652,46.38350262
row-1,1,58,1,FM 2398GLTP,0.314814815,0.082415067,0.253443526,0.975642354,3.64220842,7.676593571,24.21910367,27.07377648,39.13636364,62.12167847,49.20488355
row-1,1,59,1,FM 2398GLTP,0.192427064,0.18820958,0.524759793,1.967990912,7.992884117,13.68699927,31.64190026,31.83345508,46.33116883,66.49567388,53.43182518
row-1,1,60,1,FM 2398GLTP,0.327160494,0.317450627,0.312213039,2.352623039,5.655254206,10.88448402,29.57786329,38.47187728,53.88042355,76.26478988,62.97901617
row-1,1,61,1,FM 2398GLTP,0.421335164,0.323555447,0.547291093,1.072052695,3.951187541,9.058699607,23.69976359,32.10634548,41.34491219,61.29065353,54.8886837
row-1,1,62,1,FM 2398GLTP,0.240317094,0.154817558,0.139577594,0.48729668,3.617240411,7.033256292,23.4295846,32.18407597,45.60304752,74.98300014,61.92674669
row-1,1,63,1,FM 2398GLTP,0.374520146,0.376419161,0.418732782,3.291122323,12.11572673,20.67413578,41.09347443,44.80058437,61.68001033,84.75086351,76.40866873
row-1,1,64,1,FM 2398GLTP,0.483755189,0.371331965,0.495867769,2.705336739,8.679504385,15.66599636,31.90363616,33.49598247,50.84581612,69.87222823,65.84429066
row-1,1,65,1,FM 2398GLTP,0.62962963,0.473123531,0.672579453,1.021642694,3.526731375,6.894570526,20.56213432,28.90772684,46.74675325,69.56344349,62.20502236
row-1,1,66,1,FM 2398GLTP,0.536933582,0.388561715,0.821683522,4.3502957,12.3154708,20.42197325,39.30260047,45.11457109,61.37332128,78.28097375,68.40385277
row-1,1,67,1,FM 2398GLTP,0.324074074,0.152620494,0.266075388,2.379352063,6.569707562,13.02307766,30.65983595,37.05346651,53.89333678,75.33600082,68.7753698
row-1,1,68,1,FM 2398GLTP,0.28089011,0.437131929,0.249770432,2.530582067,8.969757498,16.9970315,37.22559946,44.23325499,63.04235537,83.06487466,73.66013072
row-1,1,69,1,FM 2398GLTP,0.468653011,0.344922316,0.225424982,2.638123404,9.425423676,17.31303265,34.66868229,41.80082256,61.61544421,80.31755746,72.55245958
row-1,1,70,1,FM 2398GLTP,0.171655067,0.108682526,0.286501377,1.992875386,6.700789613,15.12017619,33.09692671,43.49744339,60.68181818,80.83854861,73.31828597
row-1,1,71,1,FM 2398GLTP,0.586592179,0.497844697,0.576675849,3.541715393,11.2824194,22.13604009,43.97693234,48.08181154,67.95260847,87.67825998,77.83249547
