FID,CC210326,CC210407,CC210419,CC210429,CC210505,CC210513,CC210520,CC210527
3718,0.00612685,3.701842957,24.19386383,30.00091449,37.60402378,60.67545924,77.55042171,78.3880506
3719,0.000612685,6.522032154,27.30010669,30.57826551,38.61399988,61.46412192,77.8832495,78.00574502
3720,0.000612685,7.491912558,31.25682061,32.12498095,38.85688157,61.558718,78.05036059,78.14540466
3721,0,6.715640623,30.39359492,33.19588883,39.62139918,60.53471329,79.95549459,78.95183963
3722,0,6.409910793,28.8638927,33.63938424,40.84838533,62.46208353,79.68157927,79.52202408
3723,0,6.658660916,28.76146929,35.46349642,41.05227862,60.31267442,77.79667734,77.89756753
3724,0.000612685,10.86351828,32.73010634,31.84819387,38.37402835,56.44944066,72.13849163,71.61469288
3725,0,8.250416626,32.25666819,35.97073617,43.18555008,62.19454488,77.49916171,76.87446522
3726,0.000612685,12.32109597,40.73403445,36.60280971,43.52873038,62.19211823,77.07981909,78.08931565
3727,0,9.81460151,36.57621318,37.5540314,45.20103643,64.18076148,80.22923335,79.82214888
3728,0,9.357538477,36.8224356,39.54397196,45.69421638,66.19791793,80.19924215,81.03033074
3729,0,10.59638761,41.02850175,38.71726871,45.49123609,65.35950885,79.87014175,79.79953551
3730,0.001838055,15.58303108,44.45605672,37.32591376,44.1341259,64.26260415,76.89646742,76.83706752
3731,0,10.48426625,36.15851242,40.96875476,46.5365201,65.51056808,78.99649444,79.04657132
3732,0,11.17537496,37.76375553,37.81923487,43.01478433,61.98645927,76.13189097,76.87425697
3733,0,12.91601314,45.9045349,43.69151044,47.65858863,64.8486981,80.01097394,80.8275272
3734,0,11.13677581,42.02042372,43.72681384,47.04190233,64.21776796,80.07395184,79.70431337
3735,0.000612685,12.56249387,42.42036275,43.56652949,48.34628868,65.24120944,80.38835543,80.61606161
3736,0,10.56514067,38.63647476,43.64700503,48.32860844,64.90997112,81.20217577,80.64197531
3737,0.000612685,11.86893442,40.53711324,41.70278921,46.97135559,64.21473465,79.47629934,79.45666789
